name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Aachen,1,Valid,L5,21,Fell,01/01/1880 12:00:00 AM,50775000,6083330,"(50.775000, 6.083330)"
Aarhus,2,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,56183330,10233330,"(56.183330, 10.233330)"
Abee,6,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,54216670,-113000000,"(54.216670, -113.000000)"
Acapulco,10,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,16883330,-99900000,"(16.883330, -99.900000)"
Achiras,370,Valid,L6,780,Fell,01/01/1902 12:00:00 AM,-33166670,-64950000,"(-33.166670, -64.950000)"
Adhi Kot,379,Valid,EH4,4239,Fell,01/01/1919 12:00:00 AM,32100000,71800000,"(32.100000, 71.800000)"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,01/01/1949 12:00:00 AM,44833330,95166670,"(44.833330, 95.166670)"
Agen,392,Valid,H5,30000,Fell,01/01/1814 12:00:00 AM,44216670,616670,"(44.216670, 0.616670)"
Aguada,398,Valid,L6,1620,Fell,01/01/1930 12:00:00 AM,-31600000,-65233330,"(-31.600000, -65.233330)"
Aguila Blanca,417,Valid,L,1440,Fell,01/01/1920 12:00:00 AM,-30866670,-64550000,"(-30.866670, -64.550000)"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,16398060,-9570280,"(16.398060, -9.570280)"
Aïr,424,Valid,L6,24000,Fell,01/01/1925 12:00:00 AM,19083330,8383330,"(19.083330, 8.383330)"
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,01/01/1769 12:00:00 AM,50666670,2333330,"(50.666670, 2.333330)"
Akaba,426,Valid,L6,779,Fell,01/01/1949 12:00:00 AM,29516670,35050000,"(29.516670, 35.050000)"
Akbarpur,427,Valid,H4,1800,Fell,01/01/1838 12:00:00 AM,29716670,77950000,"(29.716670, 77.950000)"
Akwanga,432,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,8916670,8433330,"(8.916670, 8.433330)"
Akyumak,433,Valid,"Iron, IVA",50000,Fell,01/01/1981 12:00:00 AM,39916670,42816670,"(39.916670, 42.816670)"
Al Rais,446,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,24416670,39516670,"(24.416670, 39.516670)"
Al Zarnkh,447,Valid,LL5,700,Fell,01/01/2001 12:00:00 AM,13660330,28960000,"(13.660330, 28.960000)"
Alais,448,Valid,CI1,6000,Fell,01/01/1806 12:00:00 AM,44116670,4083330,"(44.116670, 4.083330)"
Albareto,453,Valid,L/LL4,2000,Fell,01/01/1766 12:00:00 AM,44650000,11016670,"(44.650000, 11.016670)"
Alberta,454,Valid,L,625,Fell,01/01/1949 12:00:00 AM,2000000,22666670,"(2.000000, 22.666670)"
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,01/01/2002 12:00:00 AM,45821330,6015330,"(45.821330, 6.015330)"
Aldsworth,461,Valid,LL5,700,Fell,01/01/1835 12:00:00 AM,51783330,-1783330,"(51.783330, -1.783330)"
Aleppo,462,Valid,L6,3200,Fell,01/01/1873 12:00:00 AM,36233330,37133330,"(36.233330, 37.133330)"
Alessandria,463,Valid,H5,908,Fell,01/01/1860 12:00:00 AM,44883330,8750000,"(44.883330, 8.750000)"
Alexandrovsky,465,Valid,H4,9251,Fell,01/01/1900 12:00:00 AM,50950000,31816670,"(50.950000, 31.816670)"
Alfianello,466,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,45266670,10150000,"(45.266670, 10.150000)"
Allegan,2276,Valid,H5,32000,Fell,01/01/1899 12:00:00 AM,42533330,-85883330,"(42.533330, -85.883330)"
Allende,2278,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,26966670,-105316670,"(26.966670, -105.316670)"
Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,01/01/2008 12:00:00 AM,20745750,32412750,"(20.745750, 32.412750)"
Alta'ameem,2284,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,35273330,44215560,"(35.273330, 44.215560)"
Ambapur Nagla,2290,Valid,H5,6400,Fell,01/01/1895 12:00:00 AM,27666670,78250000,"(27.666670, 78.250000)"
Andhara,2294,Valid,Stone-uncl,2700,Fell,01/01/1880 12:00:00 AM,26583330,85566670,"(26.583330, 85.566670)"
Andover,2295,Valid,L6,3200,Fell,01/01/1898 12:00:00 AM,44616670,-70750000,"(44.616670, -70.750000)"
Andreevka,2296,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,48700000,37500000,"(48.700000, 37.500000)"
Andura,2298,Valid,H6,17900,Fell,01/01/1939 12:00:00 AM,20883330,76866670,"(20.883330, 76.866670)"
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0,0,"(0.000000, 0.000000)"
Angers,2301,Valid,L6,,Fell,01/01/1822 12:00:00 AM,47466670,-550000,"(47.466670, -0.550000)"
Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,01/01/1869 12:00:00 AM,-22966670,-44316670,"(-22.966670, -44.316670)"
Ankober,2304,Valid,H4,6500,Fell,01/01/1942 12:00:00 AM,9533330,39716670,"(9.533330, 39.716670)"
Anlong,2305,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,25150000,105183330,"(25.150000, 105.183330)"
Aomori,2313,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,40810560,140785560,"(40.810560, 140.785560)"
Appley Bridge,2318,Valid,LL6,15000,Fell,01/01/1914 12:00:00 AM,53583330,-2716670,"(53.583330, -2.716670)"
Apt,2320,Valid,L6,3200,Fell,01/01/1803 12:00:00 AM,43866670,5383330,"(43.866670, 5.383330)"
Arbol Solo,2325,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,-33000000,-66000000,"(-33.000000, -66.000000)"
Archie,2329,Valid,H6,5070,Fell,01/01/1932 12:00:00 AM,38500000,-94300000,"(38.500000, -94.300000)"
Arroyo Aguiar,2340,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,-31416670,-60666670,"(-31.416670, -60.666670)"
Asco,2345,Valid,H6,41,Fell,01/01/1805 12:00:00 AM,42450000,9033330,"(42.450000, 9.033330)"
